accepted_name,identified_name,identified_rank,difference.x,accepted_rank.x,max_ma,min_ma,family.x,genus.x,lng,lat,primary_reference.x,taxon_name,difference.y,accepted_rank.y,is_extant,family.y,genus.y,primary_reference.y
Palenochtha minor,Palenochtha minor,species,NA,species,NA,NA,Palaechthonidae,Palenochtha,NA,NA,"G. G. Simpson. 1937. The Fort Union of the Crazy Mountain field, Montana and its mammalian faunas. Bulletin of the United States National Museum 169:1-287",Palenochtha minor,NA,species,extinct,Palaechthonidae,Palenochtha,G. G. Simpson. 1935. New Paleocene mammals from the Fort Union of Montana. Proceedings of the United States National Museum 83:221-244
Pan paniscus,Pan paniscus,species,NA,species,NA,NA,Hominidae,Pan,NA,NA,"H. J. L. Coolidge, Jr. 1933. Pan paniscus. Pigmy chimpanzee from south of the Congo River. American Journal of Physical Anthropology 18(1):1-59",Pan paniscus,NA,species,extant,Hominidae,Pan,"C. Jones, C. A. Jones, and J. K. Jones, Jr, D. E. Wilson. 1996. Pan troglodytes. Mammalian Species 529:1-9"
Pan troglodytes,Pan satyrus,species,replaced by,species,NA,NA,Hominidae,Pan,NA,NA,"H. J. L. Coolidge, Jr. 1933. Pan paniscus. Pigmy chimpanzee from south of the Congo River. American Journal of Physical Anthropology 18(1):1-59",Pan africanus,subjective synonym of,species,extant,Hominidae,Pan,"C. Jones, C. A. Jones, and J. K. Jones, Jr, D. E. Wilson. 1996. Pan troglodytes. Mammalian Species 529:1-9"
Pan troglodytes schweinfurthii,Anthropopithecus cottoni,species,subjective synonym of,subspecies,NA,NA,Hominidae,Pan,NA,NA,E. Lönnberg. 1917. Mammals collected in Central Africa by Captain E. Arrhenius. Kungliga Svenska Vetenskapsakademiens Handlingar 58(2):1-110,Simia (Anthropopithecus) cottoni,subjective synonym of,subspecies,extant,Hominidae,Pan,E. Lönnberg. 1917. Mammals collected in Central Africa by Captain E. Arrhenius. Kungliga Svenska Vetenskapsakademiens Handlingar 58(2):1-110
Pan troglodytes troglodytes,Troglodytes niger,species,subjective synonym of,subspecies,NA,NA,Hominidae,Pan,NA,NA,St. G. Mivart. 1867. On the Appendicular Skeleton of Primates. Philosophical Transactions of the Royal Society of London 157:299-429,Troglodytes niger,subjective synonym of,subspecies,extant,Hominidae,Pan,"International Commission on Zoological Nomenclature. 1985. The generic names Pan and Panthera (Mammalia, Carnivora): available as from Oken, 1816. Bulletin of Zoological Nomenclature 42(4):365-370"
Papio anubis,Papio anubis,species,NA,species,NA,NA,Cercopithecidae,Papio,NA,NA,D. F. Su and N. G. Jablonski. 2009. Locomotor behavior and skeletal morphology of the odd-nosed monkeys. Folia Primatologica 80:189-219,Papio anubis,NA,species,extant,Cercopithecidae,Papio,W. C. O. Hill. 1959. The correct name of the olive baboon. Journal of Mammalogy 40(1):143-145
Papio cynocephalus,Papio cynocephalus,species,NA,species,NA,NA,Cercopithecidae,Papio,NA,NA,C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37,Papio cynocephalus,NA,species,extant,Cercopithecidae,Papio,C. B. Ruff. 2003. Long bone articular and diaphyseal structure in Old World monkeys and apes. II: Estimation of body mass. American Journal of Physical Anthropology 120(1):16-37
Papio cynocephalus ibeanus,Papio thoth ibeanus,subspecies,recombined as,subspecies,NA,NA,Cercopithecidae,Papio,NA,NA,O. Thomas. 1893. Description of a new Baboon from East Africa. Annals And Magazine of Natural History 11:46-47,Papio ruhei,subjective synonym of,subspecies,extant,Cercopithecidae,Papio,"D. Zinner, R. Kraft, and C. Roos. 2008. The phylogenetic position of ""Papio ruhei"" – a unique baboon taxon from Somalia. Der Zoologische Garten 77:303-311"
Papio hamadryas,Papio hamadryas,species,NA,species,NA,NA,Cercopithecidae,Papio,NA,NA,P. Dandelot and J. Prévost. 1972. Contribution a l'étude des primates d'Éthiopie (simiens). Mammalia 36(4):607-633,Papio hamadryas,NA,species,extant,Cercopithecidae,Papio,"C. Linnaeus. 1758. Systema Naturae per Regna Tria Naturae, Secundum Classes, Ordines, Genera, Species, cum Characteribus, Differentiis, Synonymis, Locis. Editio Decima 1:1-824"
Paromomys depressidens,Paromomys depressidens,species,NA,species,NA,NA,Paromomyidae,Paromomys,NA,NA,"G. F. Winterfeld. 1982. Mammalian paleontology of the Fort Union Formation (Paleocene), eastern Rock Springs Uplift, Sweetwater County, Wyoming. Contributions to Geology, University of Wyoming 21(1):73-112",Paromomys depressidens,NA,species,extinct,Paromomyidae,Paromomys,J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.
