accepted_name,orig_no,taxon_no,taxon_name,difference,accepted_no,accepted_rank,parent_no,ref_pubyr,reference_no,is_extant,n_occs,family,genus,primary_reference
Macrotarsius roederi,47854,47854,Macrotarsius roederi,,47854,species,40814,1990,2059,extinct,1,Omomyidae,Macrotarsius,"T. S. Kelly. 1990. Biostratigraphy of Uintan and Duchesnean land mammal assemblages from the Middle Member of the Sespe Formation, Simi Valley, California. Contributions in Science, Natural History Museum of Los Angeles County 419:1-42"
Vastanomys gracilis,98782,98782,Vastanomys gracilis,,98782,species,98781,2005,24168,extinct,1,Omomyidae,Vastanomys,"S. Bajpai, V. V. Kapur, and J. G. M. Thewissen, D. P. Das, B. N. Tiwari, R. Sharma, N. Saravanan. 2005. Early Eocene primates from Vastan Lignite Mine, Gujarat, western India. Journal of the Palaeontological Society of India 50(2):43-54"
Vastanomys major,163993,163993,Vastanomys major,,163993,species,98781,2009,32172,extinct,1,Omomyidae,Vastanomys,"K. D. Rose, R. S. Rana, and A. Sahni, K. Kumar, P. Missiaen, L. Singh, T. Smith. 2009. Early Eocene primates from Gujarat, India. Journal of Human Evolution 56(4):366-404"
Yaquius travisi,52724,52724,Yaquius travisi,,52724,species,40837,1990,2452,extinct,1,Omomyidae,Yaquius,M. A. Mason. 1990. New Fossil primates from the Uintan (Eocene) of southern California. PaleoBios 13(49):1-7
Walshina mcgrewi,50329,376954,Walshina mcgrewi,,50329,species,376952,1968,2923,extinct,5,Omomyidae,Walshina,"P. Robinson. 1968. The paleontology and geology of the Badwater Creek area, central Wyoming. Annals of Carnegie Museum 39(19):307-326"
Walshina shifrae,50332,376955,Walshina shifrae,,50332,species,376952,1978,2172,extinct,4,Omomyidae,Walshina,"L. Krishtalka. 1978. Paleontology and geology of the Badwater Creek area, central Wyoming\r\nPart 15. Review of the late Eocene primates from Wyoming and Utah,\r\nand the Plesitarsiiformes. Annals of Carnegie Museum 47(15):335-360"
Walshina esmaraldensis,376953,376953,Walshina esmaraldensis,,376953,species,376952,2018,66860,extinct,6,Omomyidae,Walshina,"S. López-Torres, M. T. Silcox, and P. A. Holroyd. 2018. New omomyoids (Euprimates, Mammalia) from the late Uintan of southern California, USA, and the question of the extinction of the Paromomyidae (Plesiadapiformes, Primates). Palaeontologia Electronica  21.3.37A:1-28"
Sphacorhysis burntforkensis,51729,51729,Sphacorhysis burntforkensis,,51729,species,40825,1995,1732,extinct,1,Omomyidae,Sphacorhysis,"G. F. Gunnell. 1995. Omomyid primates (Tarsiiformes) from the Bridger Formation, middle Eocene, southern Green River Basin, Wyoming. Journal of Human Evolution 28"
Chlororhysis knightensis,45067,45067,Chlororhysis knightensis,,45067,species,40803,1958,1613,extinct,1,Omomyidae,Chlororhysis,C. L. Gazin. 1958. A review of the middle and upper Eocene primates of North America. Smithsonian Miscellaneous Collections 136(1):1-112
Chlororhysis incomptus,45066,45066,Chlororhysis incomptus,,45066,species,40803,1984,1122,extinct,1,Omomyidae,Chlororhysis,"T. M. Bown and K. D. Rose. 1984. Reassessment of Some Early Eocene Omomyidae, with Description of a New Genus and Three New Species. Folia Primatologica 43"
Artimonius australis,43688,44325,Artimonius australis,,43688,species,40800,1987,1123,extinct,1,Omomyidae,Artimonius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
Artimonius nocerai,43692,44326,Artimonius nocerai,,43692,species,40800,1987,1123,extinct,3,Omomyidae,Artimonius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
Artimonius witteri,43694,44327,Artimonius witteri,,43694,species,40800,1954,2628,extinct,6,Omomyidae,Artimonius,"W. J. Morris. 1954. An Eocene Fauna from the Cathedral Bluffs Tongue of the Washakie Basin, Wyoming. Journal of Paleontology 28(2):195-203"
Arapahovius gazini,44207,44207,Arapahovius gazini,,44207,species,40799,1978,3018,extinct,1,Omomyidae,Arapahovius,D. E. Savage and B. T. Waters. 1978. A New Omomyid Primate from the Wasatch Formation of Southern Wyoming. Folia Primatologica 30
