accepted_name,max_ma,min_ma,lng,lat,state,county,genus
Premnoides_douglassi,63.3,61.7,-109,44.299999,Wyoming,Park,Premnoides_douglassi
Pronothodectes_gaoi,61.7,56.8,-113.76667,52.349998,Alberta,NA,Pronothodectes_gaoi
Pronothodectes_jepi,63.3,61.7,-109,44.299999,Wyoming,Park,Pronothodectes_jepi
Pronothodectes_matthewi,63.3,61.7,-109.800003,45.799999,Montana,Sweetgrass,Pronothodectes_matthewi
Purgatorius_unio,66,63.3,-106.099998,47.799999,Montana,McCone,Purgatorius_unio
Shoshonius_bowni,50.3,46.2,-108.699997,43.700001,Wyoming,Hot Springs,Shoshonius_bowni
Shoshonius_cooperi,50.3,46.2,-107.333336,43.200001,Wyoming,Natrona,Shoshonius_cooperi
Smilodectes_gracilis,50.3,46.2,-110.5,41.200001,Wyoming,Uinta,Smilodectes_gracilis
Smilodectes_mcgrewi,50.3,46.2,-110.325279,41.769169,Wyoming,Lincoln,Smilodectes_mcgrewi
Smilodectes_mcgrewi,50.3,46.2,-105.099998,37.799999,Colorado,Huerfano,Smilodectes_mcgrewi
Smilodectes_sororis,50.3,46.2,-108.912781,42.369999,Wyoming,Fremont,Smilodectes_sororis
Sphacorhysis_burntforkensis,50.3,46.2,-110.5,41.200001,Wyoming,Uinta,Sphacorhysis_burntforkensis
Tarka_stylifera,46.2,40.4,-108.199997,43.200001,Wyoming,Fremont,Tarka_stylifera
Teilhardina_demissa,55.8,50.3,-108,44.5,Wyoming,Big Horn,Teilhardina_demissa
Tinimomys_graybulliensis,55.8,50.3,-108,44,Wyoming,Washakie,Tinimomys_graybulliensis
Torrejonia_sirokyi,61.7,56.8,-109.159103,43.453602,Wyoming,Fremont,Torrejonia_sirokyi
Trogolemur_myodes,50.3,46.2,-109,41.700001,Wyoming,Sweetwater,Trogolemur_myodes
Trogolemur_myodes,50.3,46.2,-114.099998,39,Nevada,White Pine,Trogolemur_myodes
Uintanius_ameghini,50.3,46.2,-110.5,41.200001,Wyoming,Uinta,Uintanius_ameghini
Uintanius_rutherfurdi,50.3,46.2,-110.699997,41.799999,Wyoming,Lincoln,Uintanius_rutherfurdi
Uintasorex_parvulus,50.3,46.2,-109.349998,42.416668,Wyoming,Sublette,Uintasorex_parvulus
Uintasorex_parvulus,50.3,46.2,-109.900002,40.200001,Utah,Uintah,Uintasorex_parvulus
Utahia_kayi,50.3,46.2,-109.900002,40.200001,Utah,Uintah,Utahia_kayi
Washakius_insignis,50.3,46.2,-109.349998,42.416668,Wyoming,Sublette,Washakius_insignis
Washakius_izetti,50.3,46.2,-105.099998,37.799999,Colorado,Huerfano,Washakius_izetti
Washakius_izetti,50.3,46.2,-108.912781,42.369999,Wyoming,Fremont,Washakius_izetti
Washakius_insignis,50.3,46.2,-109,44.299999,Wyoming,Park,Washakius_insignis
Yaquius_travisi,46.2,40.4,-119,34.299999,California,Ventura,Yaquius_travisi
Cantius_frugivorus,55.8,50.3,-107,35.700001,New Mexico,Sandoval,Cantius_frugivorus
Carpolestes_simpsoni,56.8,55.8,-109,44.299999,Wyoming,Park,Carpolestes_simpsoni
Cantius_frugivorus,55.8,50.3,-108.199997,43.200001,Wyoming,Fremont,Cantius_frugivorus
Cantius_actius,46.2,40.4,-117.099998,32.900002,California,San Diego,Cantius_actius
Ignacius_graybullianus,55.8,50.3,-109,44.299999,Wyoming,Park,Ignacius_graybullianus
Mahgarita_stevensi,40.4,37.2,-103.199997,29.200001,Texas,Brewster,Mahgarita_stevensi
Navajovius_kohlhaasae,61.7,56.8,-107.633331,37.116669,Colorado,La Plata,Navajovius_kohlhaasae
Omomys_carteri,50.3,46.2,-110.699997,41.799999,Wyoming,Lincoln,Omomys_carteri
Ourayia_uintensis,46.2,40.4,-109.283333,40.066666,Utah,Uintah,Ourayia_uintensis
Pelycodus_jarrovii,55.8,50.3,-107,36.5,New Mexico,Rio Arriba,Pelycodus_jarrovii
Plesiadapis_fodinatus,61.7,56.8,-109,41.700001,Wyoming,Sweetwater,Plesiadapis_fodinatus
Strigorhysis_bridgerensis,50.3,46.2,-108.699997,43.700001,Wyoming,Hot Springs,Strigorhysis_bridgerensis
Picrodus_canpacius,61.7,56.8,-114.433334,51.183334,Alberta,NA,Picrodus_canpacius
Picrodus_canpacius,61.7,56.8,-106.466667,41.916668,Wyoming,Carbon,Picrodus_canpacius
Picrodus_lepidus,61.7,56.8,-113.76667,52.349998,Alberta,NA,Picrodus_lepidus
Picrodus,61.7,56.8,-110.699997,41.799999,Wyoming,Lincoln,Picrodus
Picrodus,61.7,56.8,-113.599998,52.200001,Alberta,NA,Picrodus
Picrodus,61.7,56.8,-112.300003,51.5,Alberta,NA,Picrodus
Teilhardina_brandti,55.8,50.3,-109,44.299999,Wyoming,Park,Teilhardina_brandti
Torrejonia_sirokyi,61.7,56.8,-110.683334,41.583332,Wyoming,Lincoln,Torrejonia_sirokyi
Nannodectes_intermedius,61.7,56.8,-110.683334,41.583332,Wyoming,Lincoln,Nannodectes_intermedius
Tatmanius_szalayi,55.8,50.3,-108.416664,44.233334,Wyoming,Big Horn,Tatmanius_szalayi
Steinius_annectens,55.8,50.3,-108.466667,44.183334,Wyoming,Big Horn,Steinius_annectens
Arapahovius_gazini,55.8,50.3,-109,41.700001,Wyoming,Sweetwater,Arapahovius_gazini
Diablomomys_dalquesti,46.2,40.4,-104.199997,29.9,Texas,Presidio,Diablomomys_dalquesti
Omomys_carteri,46.2,40.4,-104.199997,29.9,Texas,Presidio,Omomys_carteri
Ourayia_hopsoni,46.2,40.4,-104.199997,29.9,Texas,Presidio,Ourayia_hopsoni
Ourayia_uintensis,46.2,40.4,-103.199997,29.200001,Texas,Brewster,Ourayia_uintensis
Hemiacodon_engardae,46.2,40.4,-110.099998,41.083332,Wyoming,Uinta,Hemiacodon_engardae
Edworthia_lerbekmoi,63.3,61.7,-114.150002,51.049999,Alberta,NA,Edworthia_lerbekmoi
Nannodectes_simpsoni,61.7,56.8,-108.300003,40.283333,Colorado,NA,Nannodectes_simpsoni
Phoxomylus_puncticuspis,61.7,56.8,-114.433334,51.183334,Alberta,NA,Phoxomylus_puncticuspis
Mescalerolemur_horneri,46.2,40.4,-104.199997,29.9,Texas,Presidio,Mescalerolemur_horneri
Loveina_sheai,55.8,50.3,-110.116669,42.983334,Wyoming,Sublette,Loveina_sheai
Loveina_sheai,55.8,50.3,-110.099998,42.700001,Wyoming,Sublette,Loveina_sheai
Loveina_wapitiensis,55.8,50.3,-110.116669,42.983334,Wyoming,Sublette,Loveina_wapitiensis
Cebupithecia_sarmientoi,13.8,11.8,-75.1875,3.258333,Huila,NA,Cebupithecia_sarmientoi
Solimoea_acrensis,11.608,5.333,-69.922218,-10.931944,Acre,NA,Solimoea_acrensis
Acrecebus_fraileyi,11.62,7.246,-66.87944,-10.116389,Acre,NA,Acrecebus_fraileyi
Acrecebus_fraileyi,9,6.8,-69.833336,-10.833333,Pando,"Cachuela Bandeira, Rio Acre",Acrecebus_fraileyi
Alouatta_mauroi,0.126,0,-41.519722,-10.976111,Bahia,Morro do Chapeu,Alouatta_mauroi
Stirtonia,9,6.8,-69.833336,-10.833333,Pando,"Cachuela Bandeira, Rio Acre",Stirtonia
