"county_name","year","import_ratio"
"Hancock",2020,3.03917525773196
"Hancock",2021,3.12660944206009
"Hancock",2022,3.26410835214447
"Hardin",2009,1.67652671755725
"Hardin",2010,1.56615120274914
"Hardin",2011,1.46422893481717
"Hardin",2012,1.44742900997698
"Hardin",2019,2.33029801324503
"Hardin",2020,2.22905027932961
"Hardin",2021,2.45796064400716
"Hardin",2022,2.52877697841727
"Harrison",2009,3.05948717948718
"Harrison",2010,2.957
"Harrison",2011,2.98146240988671
"Harrison",2012,2.82416502946955
"Harrison",2019,2.62591431556949
"Harrison",2020,2.8930669800235
"Harrison",2021,2.85665529010239
"Harrison",2022,2.54757085020243
"Henry",2009,1.00873069173942
"Henry",2010,0.949501246882793
"Henry",2011,0.986648865153538
"Henry",2012,0.961290322580645
"Henry",2019,2.06989924433249
"Henry",2020,2.07091737150293
"Henry",2021,2.1020942408377
"Henry",2022,2.12265415549598
"Howard",2009,0.50983606557377
"Howard",2010,0.425036390101892
"Howard",2011,0.380636604774536
"Howard",2012,0.417582417582418
"Howard",2019,2.10903426791277
"Howard",2020,2.40353982300885
"Howard",2021,2.58223062381853
"Howard",2022,2.11197511664075
"Humboldt",2009,0.522968197879859
"Humboldt",2010,0.452614379084967
"Humboldt",2011,0.252115059221658
"Humboldt",2012,0.220421393841167
"Humboldt",2019,2.58196721311475
"Humboldt",2020,2.67567567567568
"Humboldt",2021,2.81428571428571
"Humboldt",2022,2.42349304482226
"Ida",2009,3.07310704960836
"Ida",2010,3.1343669250646
"Ida",2011,2.80614657210402
"Ida",2012,3
"Ida",2019,2.24232633279483
"Ida",2020,2.15610510046368
"Ida",2021,2.39335664335664
"Ida",2022,2.36505190311419
"Iowa",2009,2.17489421720733
"Iowa",2010,2.0259067357513
"Iowa",2011,1.83312577833126
"Iowa",2012,1.84774193548387
"Iowa",2019,3.20502645502645
"Iowa",2020,3.09570552147239
"Iowa",2021,3.32913165266106
"Iowa",2022,3.06976744186047
"Jackson",2009,1.35091926458833
"Jackson",2010,1.31320450885668
"Jackson",2011,1.30857648099027
"Jackson",2012,1.21585160202361
"Jackson",2019,2.26441881100266
"Jackson",2020,2.32839962997225
"Jackson",2021,2.57766497461929
"Jackson",2022,2.39808612440191
"Jasper",2009,0.821480406386067
"Jasper",2010,0.788041053101294
"Jasper",2011,0.785386029411765
"Jasper",2012,0.746971736204576
"Jasper",2019,2.35178875638842
"Jasper",2020,2.6373786407767
"Jasper",2021,2.74785245073269
"Jasper",2022,2.35862966175195
"Jefferson",2009,0
"Jefferson",2010,0
"Jefferson",2011,0
"Jefferson",2012,0
"Jefferson",2019,2.19449901768173
"Jefferson",2020,2.22773722627737
"Jefferson",2021,2.42694063926941
"Jefferson",2022,2.26402640264026
"Johnson",2009,0.128453708191953
"Johnson",2010,0.12576112412178
"Johnson",2011,0.124912770411724
"Johnson",2012,0.116110623353819
"Johnson",2019,2.94727730563425
"Johnson",2020,3.12421835389556
"Johnson",2021,2.95461658841941
"Johnson",2022,2.80511229314421
"Jones",2009,0.608736059479554
"Jones",2010,0.615678776290631
"Jones",2011,0.578324225865209
"Jones",2012,0.559011893870082
"Jones",2019,2.52157598499062
"Jones",2020,2.55450236966825
"Jones",2021,2.63815142576205
"Jones",2022,2.46332404828227
"Keokuk",2009,3.07846153846154
"Keokuk",2010,2.8122332859175
"Keokuk",2011,2.90288315629742
"Keokuk",2012,3.05519480519481
"Keokuk",2019,2.43891402714932
"Keokuk",2020,2.58893871449925
"Keokuk",2021,2.71428571428571
"Keokuk",2022,2.55773955773956
"Kossuth",2009,0.866666666666667
"Kossuth",2010,0.859375
"Kossuth",2011,0.754889178617992
"Kossuth",2012,0.812274368231047
"Kossuth",2019,2.33425414364641
"Kossuth",2020,2.38848920863309
"Kossuth",2021,2.59754224270353
"Kossuth",2022,2.54229607250755
"Lee",2009,0
"Lee",2010,0.438162544169611
"Lee",2011,0
"Lee",2012,0
"Lee",2019,1.84527559055118
"Lee",2020,1.89853896103896
"Lee",2021,1.8383473726434
"Lee",2022,1.90435139573071
"Linn",2009,0.269472710453284
"Linn",2010,0.252700348432056
"Linn",2011,0.253268977621764
"Linn",2012,0.236874741628772
"Linn",2019,2.63049938392404
"Linn",2020,2.60498194413737
"Linn",2021,2.55161943319838
"Linn",2022,2.55794834485267
"Louisa",2009,1.85442176870748
"Louisa",2010,1.80421885299934
"Louisa",2011,1.83496503496504
"Louisa",2012,1.9054355919583
"Louisa",2019,2.04612365063788
"Louisa",2020,2.1931696905016
"Louisa",2021,2.38744075829384
"Louisa",2022,2.16810344827586
"Lucas",2009,0
"Lucas",2010,0
"Lucas",2011,0
"Lucas",2012,0
"Lucas",2019,1.74381368267831
"Lucas",2020,1.82874617737003
"Lucas",2021,1.77104874446086
"Lucas",2022,1.85779816513761
"Lyon",2009,3.63300970873786
"Lyon",2010,3.49380530973451
"Lyon",2011,3.47431506849315
"Lyon",2012,3.52249134948097
"Lyon",2019,3.28365384615385
"Lyon",2020,3.26699029126214
"Lyon",2021,3.45959595959596
"Lyon",2022,3.26224328593997
"Madison",2009,1.71081677704194
"Madison",2010,1.52673267326733
"Madison",2011,1.51251251251251
"Madison",2012,1.63559322033898
"Madison",2019,3.35274725274725
"Madison",2020,3.33183856502242
"Madison",2021,3.64531435349941
"Madison",2022,3.51228070175439
"Mahaska",2009,0.532027128862095
"Mahaska",2010,0.517543859649123
"Mahaska",2011,0.635454545454545
"Mahaska",2012,0.428049671292915
"Mahaska",2019,2.28070175438596
"Mahaska",2020,2.37209302325581
"Mahaska",2021,2.61020408163265
"Mahaska",2022,2.30665467625899
"Marion",2009,0.877950489349453
"Marion",2010,0.846629213483146
"Marion",2011,0.844036697247706
"Marion",2012,0.833902161547213
"Marion",2019,3.25814382298709
"Marion",2020,3.48655913978495
"Marion",2021,3.42310188189487
"Marion",2022,3.10825043885313
"Marshall",2009,0.483160965261204
"Marshall",2010,0.475384214639229
"Marshall",2011,0.469567404426559
"Marshall",2012,0.45404367650588
"Marshall",2019,1.89868721461187
"Marshall",2020,1.59671890303624
"Marshall",2021,1.71602649006623
"Marshall",2022,1.66925064599483
"Mills",2009,0.61151832460733
"Mills",2010,0.54404646660213
"Mills",2011,0.542688910696762
"Mills",2012,0.520161290322581
"Mills",2019,2.67804323094426
"Mills",2020,2.5187969924812
"Mills",2021,2.9520202020202
"Mills",2022,2.56986899563319
"Mitchell",2009,3.72300469483568
"Mitchell",2010,3.55217391304348
"Mitchell",2011,3.23293172690763
"Mitchell",2012,3.02742230347349
"Mitchell",2019,3.24890829694323
"Mitchell",2020,3.13107822410148
"Mitchell",2021,3.10970464135021
"Mitchell",2022,3.3968253968254
"Monona",2009,2.24361158432709
"Monona",2010,2.07407407407407
"Monona",2011,2.03230543318649
"Monona",2012,1.94730538922156
"Monona",2019,1.86640211640212
"Monona",2020,1.77835051546392
"Monona",2021,1.97450424929178
"Monona",2022,2.01174743024963
"Monroe",2009,0
"Monroe",2010,0
"Monroe",2011,0
"Monroe",2012,0
"Monroe",2019,2.48245614035088
"Monroe",2020,2.5812356979405
"Monroe",2021,2.86910994764398
"Monroe",2022,2.43478260869565
"Montgomery",2009,0.749419953596288
"Montgomery",2010,0.691629955947137
"Montgomery",2011,0.65249734325186
"Montgomery",2012,0.601703940362087
"Montgomery",2019,1.82791817087846
"Montgomery",2020,2.02281879194631
"Montgomery",2021,1.94618272841051
"Montgomery",2022,1.85483870967742
"Muscatine",2009,0.239042675893887
"Muscatine",2010,0.24288256227758
"Muscatine",2011,0.23202614379085
"Muscatine",2012,0.219225634178905
"Muscatine",2019,2.1083850931677
"Muscatine",2020,2.10709718670077
"Muscatine",2021,2.06470028544244
"Muscatine",2022,2.00558832660664
"O'Brien",2009,1.76566757493188
"O'Brien",2010,1.64556962025316
"O'Brien",2011,1.57125748502994
"O'Brien",2012,1.61710037174721
"O'Brien",2019,2.41138560687433
"O'Brien",2020,2.49776785714286
"O'Brien",2021,2.50890868596882
"O'Brien",2022,2.32261410788382
"Osceola",2009,3.25910931174089
"Osceola",2010,3.02205882352941
"Osceola",2011,2.94795539033457
"Osceola",2012,2.45619335347432
"Osceola",2019,2.07670454545455
"Osceola",2020,2.00842696629213
"Osceola",2021,1.94929577464789
"Osceola",2022,1.9796511627907
"Page",2009,0.396085740913327
"Page",2010,0.368374558303887
"Page",2011,0.38655462184874
"Page",2012,0.339333933393339
"Page",2019,2.03316749585406
"Page",2020,2.01986183074266
"Page",2021,2.16914498141264
"Page",2022,2.36565656565657
"Palo Alto",2009,2.72924187725632
"Palo Alto",2010,2.76592356687898
"Palo Alto",2011,2.75845410628019
"Palo Alto",2012,2.61212121212121
"Palo Alto",2019,2.15034482758621
"Palo Alto",2020,2.1906779661017
"Palo Alto",2021,2.31221719457014
"Palo Alto",2022,2.12995896032832
"Plymouth",2009,2.16494845360825
"Plymouth",2010,2.01845018450184
"Plymouth",2011,1.93688007213706
"Plymouth",2012,1.86569717707442
"Plymouth",2019,3.0347764371895
"Plymouth",2020,3.20692249811889
