Data Provider,The Paleobiology Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source,The Paleobiology Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data License,Creative Commons CC-BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
License URL,http://creativecommons.org/licenses/by/4.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation URL,http://paleobiodb.org/data1.2/taxa/list_doc.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data URL,"http://paleobiodb.org/data1.2/taxa/list.csv?datainfo&rowcount&base_name=primates&rank=species&show=class,ecospace,pres,ref,refattr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access Time,Fri 2023-03-03 21:19:12 GMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,PBDB Data Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base_name,primates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rank,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,show,"class,ecospace,pres,ref,refattr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elapsed Time,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records Found,1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records Returned,1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,ref_author,ref_pubyr,reference_no,is_extant,n_occs,phylum,class,order,family,genus,type_taxon,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,primary_reference
385163,385164,txn,,species,Otolemur crassicaudatus,,385163,species,Otolemur crassicaudatus,121441,Geoffroy Saint-Hilaire,1812,68690,extant,1,Chordata,Mammalia,Primates,Galagidae,Otolemur,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,M. Geoffroy Saint-Hilaire. 1812. Suite au Tableau des Quadrumanes. Annales du Muséum d'histoire naturelle 19:156-170
385068,385068,txn,,species,Galago matschiei,,385068,species,Galago matschiei,103125,Lorenz,1917,68660,extant,0,Chordata,Mammalia,Primates,Galagidae,Galago,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,L.L. Lorenz. 1917. Beitrag zur Kenntnis der Affen und Halbaffen von Zentralafrika. Annalen des K.K. Naturhistorischen Hofmuseums 31:169-241
236817,236817,txn,,species,Galago gallarum,,236817,species,Galago gallarum,103125,Lönnberg,1912,41132,extant,0,Chordata,Mammalia,Primates,Galagidae,Galago,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,E. Lönnberg. 1912. Mammals collected by the Swedish zoological expedition to British East Africa 1911. Kungl. Svenska vetenskapsakademiens handlingar band 48(5):1-188
113471,113471,txn,,species,Galago farafraensis,,113471,species,Galago farafraensis,103125,Pickford et al.,2006,26066,extinct,1,Chordata,Mammalia,Primates,Galagidae,Galago,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"M. Pickford, H. Wanas, and H. Soliman. 2006. Indications for a humid climate in the Western Desert of Egypt 11–10 Myr ago: evidence from Galagidae (Primates, Mammalia). Comptes Rendus Palevol 5(8):935-943"
430624,430624,txn,,species,Galago sadimanensis,,430624,species,Galago sadimanensis,103125,Harrison,2010,68722,extinct,1,Chordata,Mammalia,Primates,Galagidae,Galago,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"T. Harrison. 2010. Later Tertiary Lorisiformes.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
232726,232726,txn,,species,Galago moholi,,232726,species,Galago moholi,103125,Boer,1972,41275,extant,0,Chordata,Mammalia,Primates,Galagidae,Galago,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"L. E. M. Boer. 1972. The karyotype of Galago alleni Waterhouse 1837 (2N=40), compared with that of Galago senegalensis Geoffroy 1796 (2N=38) (Primates, Prosimii, Galagidae). Genetica 43(2):183-189"
232725,232725,txn,,species,Galago senegalensis,,232725,species,Galago senegalensis,103125,Boer,1972,41275,extant,5,Chordata,Mammalia,Primates,Galagidae,Galago,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"L. E. M. Boer. 1972. The karyotype of Galago alleni Waterhouse 1837 (2N=40), compared with that of Galago senegalensis Geoffroy 1796 (2N=38) (Primates, Prosimii, Galagidae). Genetica 43(2):183-189"
430593,430593,txn,,species,Komba minor,,430593,species,Komba minor,40778,Harrison,2010,68722,extinct,0,Chordata,Mammalia,Primates,Galagidae,Komba,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"T. Harrison. 2010. Later Tertiary Lorisiformes.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
430595,430595,txn,,species,Komba walkeri,,430595,species,Komba walkeri,40778,Harrison,2010,68722,extinct,0,Chordata,Mammalia,Primates,Galagidae,Komba,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"T. Harrison. 2010. Later Tertiary Lorisiformes.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
385231,385231,txn,,species,Komba robustus,,385231,species,Komba robustus,40778,Harrison,2010,68722,extinct,0,Chordata,Mammalia,Primates,Galagidae,Komba,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"T. Harrison. 2010. Later Tertiary Lorisiformes.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
430594,430594,txn,,species,Komba winamensis,,430594,species,Komba winamensis,40778,Harrison,2010,68722,extinct,1,Chordata,Mammalia,Primates,Galagidae,Komba,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"T. Harrison. 2010. Later Tertiary Lorisiformes.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
430592,430592,txn,,species,Progalago dorae,,430592,species,Progalago dorae,40780,Harrison,2010,68722,extinct,0,Chordata,Mammalia,Primates,Galagidae,Progalago,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"T. Harrison. 2010. Later Tertiary Lorisiformes.  In L. Werdelin, W.J. Sanders (eds.), Cenozoic Mammals of Africa"
121440,121440,txn,,species,Wadilemur elegans,,121440,species,Wadilemur elegans,121439,Simons,1997,29548,extinct,1,Chordata,Mammalia,Primates,Galagidae,Wadilemur,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"E. L. Simons. 1997. Discovery of the Smallest Fayum Egyptian Primates (Anchomomyini, Adapidae). Proceedings of the National Academy of Sciences 94(1):180-184"
385150,385152,txn,,species,Galagoides demidoff,,385150,species,Galagoides demidoff,121442,Fischer,1806,68704,extant,0,Chordata,Mammalia,Primates,Galagidae,Galagoides,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,G. Fischer. 1806. Nouvelles espèces d’animaux qui se trouvent au Muséum Impériale d’Histoire Naturelle. Mémoires de la Société des Naturalistes de l’Université Impériale de Moscou 1:23-26
385870,386550,txn,,species,Galagoides thomasi,,385870,species,Galagoides thomasi,121442,Elliot,1907,68652,extant,0,Chordata,Mammalia,Primates,Galagidae,Galagoides,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"D.J. Elliot. 1907. Descriptions of apparently new Species and Subspecies of Mammals belonging to the Families Lemuridae, Cebidae, Callitrichidae, and Cercopithecoidae in the Collection of the Natural History Museum. The Annals and magazine of natural history; zoology, botany, and geology ser. 7 20:185-195"
390833,390833,txn,,species,Galagoides kumbirensis,,390833,species,Galagoides kumbirensis,121442,Svensson et al.,2017,69641,extant,0,Chordata,Mammalia,Primates,Galagidae,Galagoides,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"M.S. Svensson, E. Bersacola, and MS Mills, RA Munds, V. Nijman, A. Perkin, JC Masters, S. Couette, KAI Nekaris, SK Bearder. 2017. A giant among dwarfs: a new species of galago (Primates: Galagidae) from Angola. American Journal of Physical Anthropology 163(1):30-43"
236707,236707,txn,,species,Arctocebus aureus,,236707,species,Arctocebus aureus,143089,Sanderson,1940,41848,extant,0,Chordata,Mammalia,Primates,Lorisidae,Arctocebus,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,I. T. Sanderson. 1940. The Mammals of the North Cameroons Forest Area. Being the Results of the Percy Sladen Expedition to the Mamfe Division of the British Cameroons. Transactions of the Zoological Society of London 24(7):623-725
232735,232736,txn,,species,Arctocebus calabarensis,,232735,species,Arctocebus calabarensis,143089,Allen,1939,4470,extant,0,Chordata,Mammalia,Primates,Lorisidae,Arctocebus,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"G. M. Allen. 1939. A checklist of African mammals. Bulletin of the Museum of Comparative Zoology, Harvard 83:1-763"
232728,232729,txn,,species,Perodicticus potto,,232728,species,Perodicticus potto,143090,Smeenk et al.,2006,41276,extant,0,Chordata,Mammalia,Primates,Lorisidae,Perodicticus,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"C. Smeenk, L. R. Godfrey, and F. L. Williams. 2006. The early specimens of the potto Perodicticus potto (Statius Müller, 1776) in the National Museum of Natural History, Leiden, with the selection of a neotype. Zoologische Medelingen 80:139-164"
