identified_name,identified_rank,difference,accepted_name,accepted_rank,max_ma,min_ma,family,genus,lng,lat,primary_reference
Micromomys fremdi,species,recombined as,Foxomomys fremdi,species,61.7,56.8,Micromomyidae,Foxomomys,-113.76667,52.349998,"R. C. Fox. 1984. The dentition and relationships of the Paleocene primate Micromomys Szalay, with description of a new species. Canadian Journal of Earth Sciences 21:1262-1267"
Micromomys vossae,species,recombined as,Foxomomys vossae,species,61.7,56.8,Micromomyidae,Foxomomys,-102.748001,49.063999,D. W. Krause. 1978. Paleocene primates from western Canada. Canadian Journal of Earth Sciences 15
Microsyops angustidens,species,NA,Microsyops angustidens,species,55.8,50.3,Microsyopidae,Microsyops,-107,36.5,"F. S. Szalay. 1969. Mixodectidae, Microsyopidae, and the insectivore-primate transition. Bulletin of the American Museum of Natural History 140(4):193-330"
Microsyops angustidens,species,NA,Microsyops angustidens,species,55.8,50.3,Microsyopidae,Microsyops,-108,44,"G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
Microsyops angustidens,species,NA,Microsyops angustidens,species,55.8,50.3,Microsyopidae,Microsyops,-107,36.5,"G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
Microsyops annectens,species,NA,Microsyops annectens,species,50.3,46.2,Microsyopidae,Microsyops,-109,44.299999,"J. G. Eaton. 1982. Paleontology and correlation of Eocene volcanic rocks in the Carter Mountain area, Park County, southeastern Absaroka Range, Wyoming. Contributions to Geology, University of Wyoming 21(2):153-194"
Microsyops latidens,species,NA,Microsyops latidens,species,55.8,50.3,Microsyopidae,Microsyops,-107,36.5,"F. S. Szalay. 1969. Mixodectidae, Microsyopidae, and the insectivore-primate transition. Bulletin of the American Museum of Natural History 140(4):193-330"
Arctodontomys simplicidens,species,NA,Arctodontomys simplicidens,species,56.8,55.8,Microsyopidae,Arctodontomys,-109,44.299999,K. D. Rose. 1981. The Clarkforkian Land-Mammal Age and Mammalian Faunal Composition Across the Paleocene-Eocene Boundary. University of Michigan Papers on Paleontology 26:1-197
Arctodontomys wilsoni,species,NA,Arctodontomys wilsoni,species,55.8,50.3,Microsyopidae,Arctodontomys,-108.099998,40.599998,"F. S. Szalay. 1969. Mixodectidae, Microsyopidae, and the insectivore-primate transition. Bulletin of the American Museum of Natural History 140(4):193-330"
Tinimomys loomisi,species,subjective synonym of,Tinimomys graybulliensis,species,55.8,50.3,Micromomyidae,Tinimomys,-106.599998,44,"P. Robinson. 1994. Myrmekomomys, a new genus of Micromomyine (Mammalia, ?Microsyopidae) from the lower Eocene rocks of the Powder River Basin, Wyoming. Contributions to Geology, University of Wyoming 30(1):85-90"
