accepted_name,identified_name,identified_rank,difference.x,accepted_rank.x,max_ma,min_ma,family.x,genus.x,lng,lat,primary_reference.x,taxon_name,difference.y,accepted_rank.y,is_extant,family.y,genus.y,primary_reference.y
Alouatta caraya,Alouatta caraya,species,NA,species,NA,NA,Atelidae,Alouatta,NA,NA,"M. S. Bargo, S. F. Vizcaíno, and F. M. Archuby, R. E. Blanco. 2000. Limb bone proportions, strength and digging in some Lujanian (Late Pleistocene-Early Holocene) mylodontid ground sloths (Mammalia, Xenarthra). Journal of Vertebrate Paleontology 20(3):601-610",Alouatta caraya,NA,species,extant,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30"
Alouatta caraya,Alouatta caraya,species,NA,species,NA,NA,Atelidae,Alouatta,NA,NA,R. J. Smith and W. L. Jungers. 1997. Body mass in comparative primatology. Journal of Human Evolution 32:523-559,Alouatta caraya,NA,species,extant,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30"
Alouatta caraya,Alouatta caraya,species,NA,species,NA,NA,Atelidae,Alouatta,NA,NA,"M. S. Bargo, S. F. Vizcaíno, and F. M. Archuby, R. E. Blanco. 2000. Limb bone proportions, strength and digging in some Lujanian (Late Pleistocene-Early Holocene) mylodontid ground sloths (Mammalia, Xenarthra). Journal of Vertebrate Paleontology 20(3):601-610",Alouatta caraya,NA,species,extant,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30"
Alouatta mauroi,Alouatta mauroi,species,NA,species,0.126,0,Atelidae,Alouatta,-41.519722,-10.976111,"M. F. Tejedor, A. L. Rosenberg, and C. Cartelle. 2008. Nueva especie de Alouatta (Primates, Atelinae) del Pleistoceno Tardío de Bahía, Brasil. Ameghiniana 45(1):247-251",Alouatta mauroi,NA,species,extinct,Atelidae,Alouatta,"M. F. Tejedor, A. L. Rosenberg, and C. Cartelle. 2008. Nueva especie de Alouatta (Primates, Atelinae) del Pleistoceno Tardío de Bahía, Brasil. Ameghiniana 45(1):247-251"
Alouatta mauroi,Alouatta mauroi,species,NA,species,0.126,0,Atelidae,Alouatta,-41.519722,-10.976111,"M. F. Tejedor, A. L. Rosenberg, and C. Cartelle. 2008. Nueva especie de Alouatta (Primates, Atelinae) del Pleistoceno Tardío de Bahía, Brasil. Ameghiniana 45(1):247-251",Alouatta mauroi,NA,species,extinct,Atelidae,Alouatta,"M. F. Tejedor, A. L. Rosenberg, and C. Cartelle. 2008. Nueva especie de Alouatta (Primates, Atelinae) del Pleistoceno Tardío de Bahía, Brasil. Ameghiniana 45(1):247-251"
Alouatta mauroi,Alouatta mauroi,species,NA,species,0.126,0,Atelidae,Alouatta,-41.519722,-10.976111,"M. F. Tejedor, A. L. Rosenberg, and C. Cartelle. 2008. Nueva especie de Alouatta (Primates, Atelinae) del Pleistoceno Tardío de Bahía, Brasil. Ameghiniana 45(1):247-251",Alouatta mauroi,NA,species,extinct,Atelidae,Alouatta,"M. F. Tejedor, A. L. Rosenberg, and C. Cartelle. 2008. Nueva especie de Alouatta (Primates, Atelinae) del Pleistoceno Tardío de Bahía, Brasil. Ameghiniana 45(1):247-251"
Alouatta mauroi,Alouatta mauroi,species,NA,species,0.126,0,Atelidae,Alouatta,-41.519722,-10.976111,"M. F. Tejedor, A. L. Rosenberg, and C. Cartelle. 2008. Nueva especie de Alouatta (Primates, Atelinae) del Pleistoceno Tardío de Bahía, Brasil. Ameghiniana 45(1):247-251",Alouatta mauroi,NA,species,extinct,Atelidae,Alouatta,"M. F. Tejedor, A. L. Rosenberg, and C. Cartelle. 2008. Nueva especie de Alouatta (Primates, Atelinae) del Pleistoceno Tardío de Bahía, Brasil. Ameghiniana 45(1):247-251"
Alouatta mauroi,Alouatta mauroi,species,NA,species,0.126,0,Atelidae,Alouatta,-41.519722,-10.976111,"M. F. Tejedor, A. L. Rosenberg, and C. Cartelle. 2008. Nueva especie de Alouatta (Primates, Atelinae) del Pleistoceno Tardío de Bahía, Brasil. Ameghiniana 45(1):247-251",Alouatta mauroi,NA,species,extinct,Atelidae,Alouatta,"M. F. Tejedor, A. L. Rosenberg, and C. Cartelle. 2008. Nueva especie de Alouatta (Primates, Atelinae) del Pleistoceno Tardío de Bahía, Brasil. Ameghiniana 45(1):247-251"
Alouatta palliatus,Alouatta palliata,species,recombined as,species,NA,NA,Atelidae,Alouatta,NA,NA,A. H. Schultz. 1926. Studies on the variability of platyrrhine monkeys. Journal of Mammalogy 7(4):286-305,Alouatta palliatus,NA,species,extant,Atelidae,Alouatta,J.E. Gray. 1849. Description of two species of Mammalia from Caracas. Proceedings of the Zoological Society of London 17:138-138
Alouatta palliatus,Alouatta palliata,species,recombined as,species,NA,NA,Atelidae,Alouatta,NA,NA,A. H. Schultz. 1926. Studies on the variability of platyrrhine monkeys. Journal of Mammalogy 7(4):286-305,Alouatta palliatus,NA,species,extant,Atelidae,Alouatta,J.E. Gray. 1849. Description of two species of Mammalia from Caracas. Proceedings of the Zoological Society of London 17:138-138
Alouatta palliatus,Alouatta palliata,species,recombined as,species,NA,NA,Atelidae,Alouatta,NA,NA,G. Crile and D. P. Quiring. 1940. A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science 40(5):219-259,Alouatta palliatus,NA,species,extant,Atelidae,Alouatta,J.E. Gray. 1849. Description of two species of Mammalia from Caracas. Proceedings of the Zoological Society of London 17:138-138
Alouatta palliatus,Alouatta palliata,species,recombined as,species,NA,NA,Atelidae,Alouatta,NA,NA,G. Crile and D. P. Quiring. 1940. A record of the body weight and certain organ and gland weights of 3690 animals. Ohio Journal of Science 40(5):219-259,Alouatta palliatus,NA,species,extant,Atelidae,Alouatta,J.E. Gray. 1849. Description of two species of Mammalia from Caracas. Proceedings of the Zoological Society of London 17:138-138
