accepted_name,orig_no,taxon_no,taxon_name,difference,accepted_no.x,accepted_rank,parent_no,ref_pubyr,reference_no.x,is_extant,n_occs,family,genus,primary_reference,specimen_no,is_type,accepted_no.y,max_ma,min_ma,reference_no.y,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
Alouatta palliatus,235366,390213,Alouatta palliatus,NA,235366,species,92602,1849,69551,extant,1,Atelidae,Alouatta,J.E. Gray. 1849. Description of two species of Mammalia from Caracas. Proceedings of the Zoological Society of London 17:138-138,67262,NA,235366,NA,NA,41620,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta palliatus,235366,390213,Alouatta palliatus,NA,235366,species,92602,1849,69551,extant,1,Atelidae,Alouatta,J.E. Gray. 1849. Description of two species of Mammalia from Caracas. Proceedings of the Zoological Society of London 17:138-138,67263,NA,235366,NA,NA,41620,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta palliatus,235366,390213,Alouatta palliatus,NA,235366,species,92602,1849,69551,extant,1,Atelidae,Alouatta,J.E. Gray. 1849. Description of two species of Mammalia from Caracas. Proceedings of the Zoological Society of London 17:138-138,70720,NA,235366,NA,NA,41839,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta palliatus,235366,390213,Alouatta palliatus,NA,235366,species,92602,1849,69551,extant,1,Atelidae,Alouatta,J.E. Gray. 1849. Description of two species of Mammalia from Caracas. Proceedings of the Zoological Society of London 17:138-138,70719,NA,235366,NA,NA,41839,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,232536,232537,Alouatta seniculus,NA,232536,species,92602,1999,41241,extant,3,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",73546,NA,232536,NA,NA,42010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,232536,232537,Alouatta seniculus,NA,232536,species,92602,1999,41241,extant,3,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",61324,NA,232536,NA,NA,41208,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,232536,232537,Alouatta seniculus,NA,232536,species,92602,1999,41241,extant,3,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",61325,NA,232536,NA,NA,41208,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,232536,232537,Alouatta seniculus,NA,232536,species,92602,1999,41241,extant,3,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",61464,NA,232536,NA,NA,41219,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,232536,232537,Alouatta seniculus,NA,232536,species,92602,1999,41241,extant,3,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",61320,NA,232536,NA,NA,41208,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,232536,232537,Alouatta seniculus,NA,232536,species,92602,1999,41241,extant,3,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",70862,NA,232536,NA,NA,41844,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,232536,232537,Alouatta seniculus,NA,232536,species,92602,1999,41241,extant,3,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",70822,NA,232536,NA,NA,41840,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,232536,232537,Alouatta seniculus,NA,232536,species,92602,1999,41241,extant,3,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",61463,NA,232536,NA,NA,41219,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,232536,232537,Alouatta seniculus,NA,232536,species,92602,1999,41241,extant,3,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",61323,NA,232536,NA,NA,41208,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,232536,232537,Alouatta seniculus,NA,232536,species,92602,1999,41241,extant,3,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",61322,NA,232536,NA,NA,41208,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,232536,232537,Alouatta seniculus,NA,232536,species,92602,1999,41241,extant,3,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",70821,NA,232536,NA,NA,41840,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,232536,232537,Alouatta seniculus,NA,232536,species,92602,1999,41241,extant,3,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",70864,NA,232536,NA,NA,41844,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,232536,232537,Alouatta seniculus,NA,232536,species,92602,1999,41241,extant,3,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",61465,NA,232536,NA,NA,41219,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,232536,232537,Alouatta seniculus,NA,232536,species,92602,1999,41241,extant,3,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",70863,NA,232536,NA,NA,41844,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,232536,232537,Alouatta seniculus,NA,232536,species,92602,1999,41241,extant,3,Atelidae,Alouatta,"C. M. Meireles, J. Czelusniak, and M. P. C. Schneider, J. A. P. C. Muniz, M. G. Brigido, H. S. Ferreria, M. Goodman. 1999. Molecular phylogeny of ateline New World monkeys (Platyrrhini, Atelinae) based on -globin gene sequences: evidence that Brachyteles Is the sister group of Lagothrix. Molecular Phylogenetics and Evolution 12(1):10-30",61467,NA,232536,NA,NA,41219,NA,NA,NA,NA,NA,NA,NA,NA,NA
