specimen_no,is_type,accepted_name,accepted_no,max_ma,min_ma,reference_no,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
1630,,Ignacius frugivorus,47353,61.7,56.8,3716,-109,41.700001,US,Wyoming,Sweetwater,based on political unit,1,small collection,east flank Rock Springs Uplift
1631,,Ignacius graybullianus,47354,,,1120,,,,,,,,,
1632,,Ignacius graybullianus,47354,,,8850,,,,,,,,,
1665,holotype,Jemezius szalayi,47419,,,1035,,,,,,,,,
1666,,Jemezius szalayi,47419,55.8,50.3,1035,-107,35.700001,US,New Mexico,Sandoval,based on political unit,1,small collection,
1849,holotype,Loveina minuta,49193,,,1122,,,,,,,,,
1850,holotype,Loveina wapitiensis,47777,55.8,50.3,1749,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Wapiti Valley
1851,holotype,Loveina zephyri,47778,,,1122,,,,,,,,,
1852,,Loveina zephyri,47778,,,3353,,,,,,,,,
1853,,Loveina zephyri,47778,,,1122,,,,,,,,,
1893,holotype,Macrotarsius jepseni,46848,46.2,40.4,2172,-109.699997,40.066666,US,Utah,Uintah,stated in text,minutes,,"White RIver Pocket is in ""SE SW SE Sec. 5, T9S R20E"" (Prothero 1996, p. 23)"
1894,,Macrotarsius jepseni,46848,,,2233,,,,,,,,,
1895,holotype,Macrotarsius montanus,47853,,,2172,,,,,,,,,
1896,,Macrotarsius montanus,47853,40.4,37.2,3309,-107.900002,50,CA,Saskatchewan,,based on nearby landmark,1,small collection,23 km SSW of Swift Current
1897,,Macrotarsius siegerti,47855,,,2172,,,,,,,,,
1898,,Macrotarsius siegerti,47855,,,1405,,,,,,,,,
1940,,Megadelphus lundeliusi,45484,,,1730,,,,,,,,,
1941,,Megadelphus lundeliusi,45484,,,1730,,,,,,,,,
2155,,Foxomomys fremdi,48517,61.7,56.8,1529,-113.76667,52.349998,CA,Alberta,,stated in text,minutes,small collection,"SE of Blackfalds, 8 km northeast of Red Deer (Fox 1988) or ""NE1/4, S13–S14, T39, R27, W4"" (Scott 2010)\ncoordinate based on Blackfalds\n"
2156,holotype,Foxomomys vossae,48519,61.7,56.8,2156,-102.748001,49.063999,CA,Saskatchewan,,stated in text,3,small collection,"NW 1/4, Sec. 28, Tp. 1, R 6, W 2 (in Gao & Fox 1998)"
2185,,Microsyops angustidens,45481,55.8,50.3,3348,-107,36.5,US,New Mexico,Rio Arriba,based on political unit,1,local area,"from at least nine localities that span an area of about 6 miles east-west and 11 miles north-south (Sullivan and Lucas 1988, Fig. 1)"
2186,,Microsyops angustidens,45481,55.8,50.3,1730,-108,44,US,Wyoming,Washakie,based on political unit,1,small collection,
