specimen_no,is_type,accepted_name,accepted_no,max_ma,min_ma,reference_no,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
47278,,Loveina sheai,49320,55.8,50.3,40437,-110.116669,42.983334,US,Wyoming,Sublette,based on nearby landmark,minutes,small collection,"""12 miles north of Big Piney"" (coordinate extrapolated from lat/long for Big Piney)"
47279,holotype,Loveina sheai,49320,55.8,50.3,40437,-110.099998,42.700001,US,Wyoming,Sublette,based on political unit,1,,on the Green River between La Barge and Big Piney
47280,holotype,Loveina sheai,49320,55.8,50.3,40437,-110.099998,42.700001,US,Wyoming,Sublette,based on political unit,1,,on the Green River between La Barge and Big Piney
47281,holotype,Loveina wapitiensis,47777,55.8,50.3,40437,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Wapiti Valley
47282,holotype,Loveina wapitiensis,47777,55.8,50.3,40437,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Wapiti Valley
47283,holotype,Loveina wapitiensis,47777,55.8,50.3,40437,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Wapiti Valley
47284,holotype,Loveina wapitiensis,47777,55.8,50.3,40437,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Wapiti Valley
47285,,Loveina wapitiensis,47777,55.8,50.3,40437,-110.116669,42.983334,US,Wyoming,Sublette,based on nearby landmark,minutes,small collection,"locality somewhere ""in the Green River Basin, Sublette County"" and assumed to be somewhere near UCMP V77067 (basis of coordinate)"
47286,,Loveina wapitiensis,47777,55.8,50.3,40437,-110.116669,42.983334,US,Wyoming,Sublette,based on nearby landmark,minutes,small collection,"locality somewhere ""in the Green River Basin, Sublette County"" and assumed to be somewhere near UCMP V77067 (basis of coordinate)"
47287,,Loveina wapitiensis,47777,55.8,50.3,40437,-110.116669,42.983334,US,Wyoming,Sublette,based on nearby landmark,minutes,small collection,"locality somewhere ""in the Green River Basin, Sublette County"" and assumed to be somewhere near UCMP V77067 (basis of coordinate)"
47288,,Loveina wapitiensis,47777,55.8,50.3,40437,-110.116669,42.983334,US,Wyoming,Sublette,based on nearby landmark,minutes,small collection,"locality somewhere ""in the Green River Basin, Sublette County"" and assumed to be somewhere near UCMP V77067 (basis of coordinate)"
47289,,Loveina wapitiensis,47777,55.8,50.3,40437,-110.116669,42.983334,US,Wyoming,Sublette,based on nearby landmark,minutes,small collection,"locality somewhere ""in the Green River Basin, Sublette County"" and assumed to be somewhere near UCMP V77067 (basis of coordinate)"
57217,,Pan troglodytes,157890,,,41219,,,,,,,,,
57218,,Pan troglodytes,157890,,,41107,,,,,,,,,
57219,,Pan troglodytes,157890,,,41107,,,,,,,,,
57220,,Pan troglodytes,157890,,,41107,,,,,,,,,
57221,,Pan troglodytes,157890,,,41107,,,,,,,,,
57222,,Pan troglodytes,157890,,,41219,,,,,,,,,
57223,,Pan troglodytes,157890,,,41107,,,,,,,,,
57224,,Pan troglodytes,157890,,,41107,,,,,,,,,
57225,,Pan troglodytes,157890,,,41107,,,,,,,,,
57226,,Pan troglodytes,157890,,,41107,,,,,,,,,
57227,,Gorilla gorilla,231496,,,41219,,,,,,,,,
57228,,Gorilla gorilla,231496,,,41107,,,,,,,,,
57229,,Gorilla gorilla,231496,,,41107,,,,,,,,,
57230,,Gorilla gorilla,231496,,,41107,,,,,,,,,
57231,,Gorilla gorilla,231496,,,41107,,,,,,,,,
57232,,Gorilla gorilla,231496,,,41219,,,,,,,,,
57233,,Gorilla gorilla,231496,,,41107,,,,,,,,,
57234,,Gorilla gorilla,231496,,,41107,,,,,,,,,
57235,,Gorilla gorilla,231496,,,41107,,,,,,,,,
57236,,Gorilla gorilla,231496,,,41107,,,,,,,,,
57237,,Pongo pygmaeus,232338,,,41219,,,,,,,,,
57238,,Pongo pygmaeus,232338,,,41107,,,,,,,,,
57239,,Pongo pygmaeus,232338,,,41107,,,,,,,,,
57240,,Pongo pygmaeus,232338,,,41107,,,,,,,,,
57241,,Pongo pygmaeus,232338,,,41107,,,,,,,,,
57242,,Pongo pygmaeus,232338,,,41219,,,,,,,,,
57243,,Pongo pygmaeus,232338,,,41107,,,,,,,,,
57244,,Pongo pygmaeus,232338,,,41107,,,,,,,,,
57245,,Pongo pygmaeus,232338,,,41107,,,,,,,,,
57246,,Pongo pygmaeus,232338,,,41107,,,,,,,,,
57247,,Hylobates lar,231498,,,41107,,,,,,,,,
57248,,Hylobates lar,231498,,,41107,,,,,,,,,
57249,,Hylobates lar,231498,,,41107,,,,,,,,,
57250,,Hylobates lar,231498,,,41107,,,,,,,,,
57251,,Hylobates lar,231498,,,41107,,,,,,,,,
57252,,Hylobates lar,231498,,,41107,,,,,,,,,
57253,,Hylobates lar,231498,,,41107,,,,,,,,,
57254,,Hylobates lar,231498,,,41107,,,,,,,,,
57255,,Hylobates lar,231498,,,41107,,,,,,,,,
57256,,Hylobates lar,231498,,,41107,,,,,,,,,
57257,,Symphalangus syndactylus,231500,,,41107,,,,,,,,,
57258,,Symphalangus syndactylus,231500,,,41107,,,,,,,,,
57259,,Symphalangus syndactylus,231500,,,41107,,,,,,,,,
57260,,Symphalangus syndactylus,231500,,,41107,,,,,,,,,
57261,,Symphalangus syndactylus,231500,,,41107,,,,,,,,,
57262,,Symphalangus syndactylus,231500,,,41107,,,,,,,,,
57263,,Symphalangus syndactylus,231500,,,41107,,,,,,,,,
57264,,Symphalangus syndactylus,231500,,,41107,,,,,,,,,
57265,,Symphalangus syndactylus,231500,,,41107,,,,,,,,,
57266,,Symphalangus syndactylus,231500,,,41107,,,,,,,,,
57267,,Papio cynocephalus,231525,,,41107,,,,,,,,,
57268,,Papio cynocephalus,231525,,,41107,,,,,,,,,
57269,,Papio cynocephalus,231525,,,41107,,,,,,,,,
57270,,Papio cynocephalus,231525,,,41107,,,,,,,,,
57271,,Papio cynocephalus,231525,,,41107,,,,,,,,,
57272,,Papio cynocephalus,231525,,,41107,,,,,,,,,
57273,,Papio cynocephalus,231525,,,41107,,,,,,,,,
57274,,Papio cynocephalus,231525,,,41107,,,,,,,,,
57275,,Papio cynocephalus,231525,,,41107,,,,,,,,,
57276,,Papio cynocephalus,231525,,,41107,,,,,,,,,
57277,,Macaca nemestrina,231527,,,41107,,,,,,,,,
57278,,Macaca nemestrina,231527,,,41107,,,,,,,,,
57279,,Macaca nemestrina,231527,,,41107,,,,,,,,,
57280,,Macaca nemestrina,231527,,,41107,,,,,,,,,
57281,,Macaca nemestrina,231527,,,41107,,,,,,,,,
57282,,Macaca nemestrina,231527,,,41107,,,,,,,,,
57283,,Macaca nemestrina,231527,,,41107,,,,,,,,,
57284,,Macaca nemestrina,231527,,,41107,,,,,,,,,
57285,,Macaca nemestrina,231527,,,41107,,,,,,,,,
57286,,Macaca nemestrina,231527,,,41107,,,,,,,,,
57287,,Macaca fascicularis,231529,,,41107,,,,,,,,,
57288,,Macaca fascicularis,231529,,,41107,,,,,,,,,
57289,,Macaca fascicularis,231529,,,41107,,,,,,,,,
57290,,Macaca fascicularis,231529,,,41107,,,,,,,,,
57291,,Macaca fascicularis,231529,,,41107,,,,,,,,,
57292,,Macaca fascicularis,231529,,,41107,,,,,,,,,
57293,,Macaca fascicularis,231529,,,41107,,,,,,,,,
57294,,Macaca fascicularis,231529,,,41107,,,,,,,,,
57295,,Macaca fascicularis,231529,,,41107,,,,,,,,,
57296,,Macaca fascicularis,231529,,,41107,,,,,,,,,
57297,,Nasalis larvatus,231531,,,41107,,,,,,,,,
57298,,Nasalis larvatus,231531,,,41107,,,,,,,,,
57299,,Nasalis larvatus,231531,,,41107,,,,,,,,,
57300,,Nasalis larvatus,231531,,,41107,,,,,,,,,
57301,,Nasalis larvatus,231531,,,41107,,,,,,,,,
57302,,Nasalis larvatus,231531,,,41107,,,,,,,,,
57303,,Nasalis larvatus,231531,,,41107,,,,,,,,,
57304,,Nasalis larvatus,231531,,,41107,,,,,,,,,
57305,,Nasalis larvatus,231531,,,41107,,,,,,,,,
57306,,Nasalis larvatus,231531,,,41107,,,,,,,,,
57307,,Colobus guereza,231533,,,41107,,,,,,,,,
57308,,Colobus guereza,231533,,,41107,,,,,,,,,
57309,,Colobus guereza,231533,,,41107,,,,,,,,,
57310,,Colobus guereza,231533,,,41107,,,,,,,,,
57311,,Colobus guereza,231533,,,41107,,,,,,,,,
57312,,Colobus guereza,231533,,,41107,,,,,,,,,
57313,,Trachypithecus cristatus,231534,,,41107,,,,,,,,,
57314,,Trachypithecus cristatus,231534,,,41107,,,,,,,,,
57315,,Trachypithecus cristatus,231534,,,41107,,,,,,,,,
57316,,Trachypithecus cristatus,231534,,,41107,,,,,,,,,
57317,,Trachypithecus cristatus,231534,,,41107,,,,,,,,,
57318,,Trachypithecus cristatus,231534,,,41107,,,,,,,,,
57319,,Trachypithecus cristatus,231534,,,41107,,,,,,,,,
57320,,Trachypithecus cristatus,231534,,,41107,,,,,,,,,
57321,,Trachypithecus cristatus,231534,,,41107,,,,,,,,,
57322,,Trachypithecus cristatus,231534,,,41107,,,,,,,,,
57323,,Presbytis rubicunda,231536,,,41107,,,,,,,,,
57324,,Presbytis rubicunda,231536,,,41107,,,,,,,,,
57325,,Presbytis rubicunda,231536,,,41107,,,,,,,,,
57326,,Presbytis rubicunda,231536,,,41107,,,,,,,,,
57327,,Presbytis rubicunda,231536,,,41107,,,,,,,,,
57328,,Presbytis rubicunda,231536,,,41107,,,,,,,,,
57329,,Presbytis rubicunda,231536,,,41107,,,,,,,,,
57330,,Presbytis rubicunda,231536,,,41107,,,,,,,,,
57331,,Presbytis rubicunda,231536,,,41107,,,,,,,,,
57332,,Presbytis rubicunda,231536,,,41107,,,,,,,,,
58843,,Leontocebus fuscicollis,231757,,,41162,,,,,,,,,
58844,,Leontocebus fuscicollis,231757,,,41162,,,,,,,,,
58845,,Leontocebus fuscicollis,231757,,,41162,,,,,,,,,
58846,,Leontocebus fuscicollis,231757,,,41162,,,,,,,,,
58847,,Leontocebus fuscicollis,231757,,,41162,,,,,,,,,
58848,,Leontocebus fuscicollis,231757,,,41162,,,,,,,,,
58852,,Leontocebus fuscicollis,231757,,,41843,,,,,,,,,
59651,,Macaca assamensis,231975,,,41186,,,,,,,,,
59652,,Nycticebus pygmaeus,231977,,,41186,,,,,,,,,
60783,,Homo sapiens,83088,,,41208,,,,,,,,,
60784,,Homo sapiens,83088,,,41208,,,,,,,,,
60785,,Homo sapiens,83088,,,41208,,,,,,,,,
60786,,Homo sapiens,83088,,,41208,,,,,,,,,
60787,,Homo sapiens,83088,,,41208,,,,,,,,,
60788,,Homo sapiens,83088,,,41208,,,,,,,,,
60839,,Gorilla gorilla,231496,,,41208,,,,,,,,,
60840,,Gorilla gorilla,231496,,,41208,,,,,,,,,
60841,,Gorilla gorilla,231496,,,41208,,,,,,,,,
60842,,Gorilla gorilla,231496,,,41208,,,,,,,,,
60843,,Gorilla gorilla,231496,,,41208,,,,,,,,,
60844,,Gorilla gorilla,231496,,,41208,,,,,,,,,
60845,,Pan troglodytes troglodytes,236873,,,41208,,,,,,,,,
60846,,Pan troglodytes troglodytes,236873,,,41208,,,,,,,,,
60847,,Pan troglodytes troglodytes,236873,,,41208,,,,,,,,,
60848,,Pan troglodytes troglodytes,236873,,,41208,,,,,,,,,
60849,,Pan troglodytes troglodytes,236873,,,41208,,,,,,,,,
60850,,Pan troglodytes troglodytes,236873,,,41208,,,,,,,,,
60851,,Pan troglodytes,157890,,,41219,,,,,,,,,
60852,,Pan troglodytes,157890,,,41219,,,,,,,,,
60853,,Pan troglodytes,157890,,,41219,,,,,,,,,
60854,,Pan troglodytes,157890,,,41219,,,,,,,,,
60855,,Gorilla gorilla,231496,,,41219,,,,,,,,,
60856,,Gorilla gorilla,231496,,,41219,,,,,,,,,
60857,,Gorilla gorilla,231496,,,41219,,,,,,,,,
60858,,Gorilla gorilla,231496,,,41219,,,,,,,,,
60859,,Homo sapiens,83088,,,41219,,,,,,,,,
60860,,Homo sapiens,83088,,,41219,,,,,,,,,
60861,,Homo sapiens,83088,,,41219,,,,,,,,,
60862,,Homo sapiens,83088,,,41219,,,,,,,,,
60863,,Homo sapiens,83088,,,41219,,,,,,,,,
60864,,Homo sapiens,83088,,,41219,,,,,,,,,
61241,,Pongo abelii,232339,,,41208,,,,,,,,,
61242,,Pongo abelii,232339,,,41208,,,,,,,,,
61243,,Pongo abelii,232339,,,41208,,,,,,,,,
61244,,Pongo abelii,232339,,,41208,,,,,,,,,
61245,,Pongo abelii,232339,,,41208,,,,,,,,,
61246,,Pongo abelii,232339,,,41208,,,,,,,,,
61247,,Hylobates lar,231498,,,41208,,,,,,,,,
61248,,Hylobates lar,231498,,,41208,,,,,,,,,
61249,,Hylobates lar,231498,,,41208,,,,,,,,,
61250,,Hylobates lar,231498,,,41208,,,,,,,,,
61251,,Hylobates lar,231498,,,41208,,,,,,,,,
61252,,Hylobates lar,231498,,,41208,,,,,,,,,
61253,,Hylobates moloch,232649,,,41208,,,,,,,,,
61254,,Hylobates moloch,232649,,,41208,,,,,,,,,
61255,,Hylobates moloch,232649,,,41208,,,,,,,,,
61256,,Hylobates moloch,232649,,,41208,,,,,,,,,
61257,,Hylobates moloch,232649,,,41208,,,,,,,,,
61258,,Hylobates moloch,232649,,,41208,,,,,,,,,
61272,,Semnopithecus entellus,232624,,,41208,,,,,,,,,
61273,,Semnopithecus entellus,232624,,,41208,,,,,,,,,
61274,,Semnopithecus entellus,232624,,,41208,,,,,,,,,
61275,,Semnopithecus entellus,232624,,,41208,,,,,,,,,
61276,,Semnopithecus entellus,232624,,,41208,,,,,,,,,
61277,,Semnopithecus entellus,232624,,,41208,,,,,,,,,
61278,,Macaca mulatta,232540,,,41208,,,,,,,,,
61279,,Macaca mulatta,232540,,,41208,,,,,,,,,
61280,,Macaca mulatta,232540,,,41208,,,,,,,,,
61281,,Macaca mulatta,232540,,,41208,,,,,,,,,
61282,,Macaca mulatta,232540,,,41208,,,,,,,,,
61283,,Macaca mulatta,232540,,,41208,,,,,,,,,
61290,,Mandrillus sphinx,104119,,,41208,,,,,,,,,
61291,,Mandrillus sphinx,104119,,,41208,,,,,,,,,
61292,,Mandrillus sphinx,104119,,,41208,,,,,,,,,
61293,,Mandrillus sphinx,104119,,,41208,,,,,,,,,
61294,,Mandrillus sphinx,104119,,,41208,,,,,,,,,
61295,,Mandrillus sphinx,104119,,,41208,,,,,,,,,
61296,,Mandrillus sphinx,104119,,,41208,,,,,,,,,
61297,,Mandrillus sphinx,104119,,,41208,,,,,,,,,
61298,,Mandrillus sphinx,104119,,,41208,,,,,,,,,
61299,,Mandrillus sphinx,104119,,,41208,,,,,,,,,
61300,,Mandrillus sphinx,104119,,,41208,,,,,,,,,
61301,,Mandrillus sphinx,104119,,,41208,,,,,,,,,
61302,,Ateles belzebuth,232524,,,41208,,,,,,,,,
61303,,Ateles belzebuth,232524,,,41208,,,,,,,,,
61304,,Ateles belzebuth,232524,,,41208,,,,,,,,,
61305,,Ateles belzebuth,232524,,,41208,,,,,,,,,
61306,,Ateles belzebuth,232524,,,41208,,,,,,,,,
61307,,Ateles belzebuth,232524,,,41208,,,,,,,,,
61308,,Lagothrix lagotricha,232529,,,41208,,,,,,,,,
61309,,Lagothrix lagotricha,232529,,,41208,,,,,,,,,
61310,,Lagothrix lagotricha,232529,,,41208,,,,,,,,,
61311,,Lagothrix lagotricha,232529,,,41208,,,,,,,,,
61312,,Lagothrix lagotricha,232529,,,41208,,,,,,,,,
61313,,Lagothrix lagotricha,232529,,,41208,,,,,,,,,
61314,,Cebus capucinus,104134,,,41208,,,,,,,,,
61315,,Cebus capucinus,104134,,,41208,,,,,,,,,
61316,,Cebus capucinus,104134,,,41208,,,,,,,,,
61317,,Cebus capucinus,104134,,,41208,,,,,,,,,
61318,,Cebus capucinus,104134,,,41208,,,,,,,,,
61319,,Cebus capucinus,104134,,,41208,,,,,,,,,
61320,,Alouatta seniculus,232536,,,41208,,,,,,,,,
61321,,Alouatta seniculus,232536,,,41208,,,,,,,,,
61322,,Alouatta seniculus,232536,,,41208,,,,,,,,,
61323,,Alouatta seniculus,232536,,,41208,,,,,,,,,
61324,,Alouatta seniculus,232536,,,41208,,,,,,,,,
61325,,Alouatta seniculus,232536,,,41208,,,,,,,,,
61346,,Pithecia monachus,232705,,,41208,,,,,,,,,
61347,,Pithecia monachus,232705,,,41208,,,,,,,,,
61348,,Pithecia monachus,232705,,,41208,,,,,,,,,
61349,,Pithecia monachus,232705,,,41208,,,,,,,,,
61350,,Pithecia monachus,232705,,,41208,,,,,,,,,
61351,,Pithecia monachus,232705,,,41208,,,,,,,,,
61352,,Cacajao melanocephalus,232689,,,41208,,,,,,,,,
61353,,Cacajao melanocephalus,232689,,,41208,,,,,,,,,
61354,,Cacajao melanocephalus,232689,,,41208,,,,,,,,,
61355,,Cacajao melanocephalus,232689,,,41208,,,,,,,,,
61356,,Cacajao melanocephalus,232689,,,41208,,,,,,,,,
61357,,Cacajao melanocephalus,232689,,,41208,,,,,,,,,
61358,,Aotus trivirgatus,232710,,,41208,,,,,,,,,
61359,,Aotus trivirgatus,232710,,,41208,,,,,,,,,
61360,,Aotus trivirgatus,232710,,,41208,,,,,,,,,
61361,,Aotus trivirgatus,232710,,,41208,,,,,,,,,
61362,,Aotus trivirgatus,232710,,,41208,,,,,,,,,
61363,,Aotus trivirgatus,232710,,,41208,,,,,,,,,
61364,,Saimiri sciureus,104135,,,41208,,,,,,,,,
61365,,Saimiri sciureus,104135,,,41208,,,,,,,,,
61366,,Saimiri sciureus,104135,,,41208,,,,,,,,,
61367,,Saimiri sciureus,104135,,,41208,,,,,,,,,
61368,,Saimiri sciureus,104135,,,41208,,,,,,,,,
61369,,Saimiri sciureus,104135,,,41208,,,,,,,,,
61370,,Callithrix jacchus,104128,,,41208,,,,,,,,,
61371,,Callithrix jacchus,104128,,,41208,,,,,,,,,
61372,,Callithrix jacchus,104128,,,41208,,,,,,,,,
61373,,Callithrix jacchus,104128,,,41208,,,,,,,,,
61374,,Callithrix jacchus,104128,,,41208,,,,,,,,,
61375,,Callithrix jacchus,104128,,,41208,,,,,,,,,
61376,,Indri indri,232454,,,41208,,,,,,,,,
61377,,Indri indri,232454,,,41208,,,,,,,,,
61378,,Indri indri,232454,,,41208,,,,,,,,,
61379,,Indri indri,232454,,,41208,,,,,,,,,
61380,,Indri indri,232454,,,41208,,,,,,,,,
61381,,Indri indri,232454,,,41208,,,,,,,,,
61382,,Eulemur macaco,232521,,,41208,,,,,,,,,
61383,,Eulemur macaco,232521,,,41208,,,,,,,,,
61384,,Eulemur macaco,232521,,,41208,,,,,,,,,
61385,,Eulemur macaco,232521,,,41208,,,,,,,,,
61386,,Eulemur macaco,232521,,,41208,,,,,,,,,
61387,,Eulemur macaco,232521,,,41208,,,,,,,,,
61388,,Sciurocheirus alleni,232724,,,41208,,,,,,,,,
61389,,Sciurocheirus alleni,232724,,,41208,,,,,,,,,
61390,,Sciurocheirus alleni,232724,,,41208,,,,,,,,,
61391,,Sciurocheirus alleni,232724,,,41208,,,,,,,,,
61392,,Sciurocheirus alleni,232724,,,41208,,,,,,,,,
61393,,Sciurocheirus alleni,232724,,,41208,,,,,,,,,
61394,,Loris tardigradus,104137,,,41208,,,,,,,,,
61395,,Loris tardigradus,104137,,,41208,,,,,,,,,
61396,,Loris tardigradus,104137,,,41208,,,,,,,,,
61397,,Loris tardigradus,104137,,,41208,,,,,,,,,
61398,,Loris tardigradus,104137,,,41208,,,,,,,,,
61399,,Loris tardigradus,104137,,,41208,,,,,,,,,
61400,,Loris tardigradus,104137,,,41208,,,,,,,,,
61401,,Loris tardigradus,104137,,,41208,,,,,,,,,
61402,,Loris tardigradus,104137,,,41208,,,,,,,,,
61403,,Loris tardigradus,104137,,,41208,,,,,,,,,
61404,,Loris tardigradus,104137,,,41208,,,,,,,,,
61405,,Loris tardigradus,104137,,,41208,,,,,,,,,
61406,holotype,Perodicticus potto,232728,,,41276,,,,,,,,,
61407,holotype,Perodicticus potto,232728,,,41276,,,,,,,,,
61408,holotype,Perodicticus potto,232728,,,41276,,,,,,,,,
61409,,Perodicticus potto,232728,,,41208,,,,,,,,,
61410,,Perodicticus potto,232728,,,41208,,,,,,,,,
61411,,Perodicticus potto,232728,,,41208,,,,,,,,,
61412,,Perodicticus potto,232728,,,41208,,,,,,,,,
61413,,Perodicticus potto,232728,,,41208,,,,,,,,,
61414,,Perodicticus potto,232728,,,41208,,,,,,,,,
61415,,Arctocebus calabarensis,232735,,,41208,,,,,,,,,
61416,,Arctocebus calabarensis,232735,,,41208,,,,,,,,,
61417,,Arctocebus calabarensis,232735,,,41208,,,,,,,,,
61418,,Arctocebus calabarensis,232735,,,41208,,,,,,,,,
61419,,Arctocebus calabarensis,232735,,,41208,,,,,,,,,
61420,,Arctocebus calabarensis,232735,,,41208,,,,,,,,,
61421,,Cephalopachus bancanus,232742,,,41208,,,,,,,,,
61422,,Cephalopachus bancanus,232742,,,41208,,,,,,,,,
61423,,Cephalopachus bancanus,232742,,,41208,,,,,,,,,
61424,,Cephalopachus bancanus,232742,,,41208,,,,,,,,,
61425,,Cephalopachus bancanus,232742,,,41208,,,,,,,,,
61426,,Cephalopachus bancanus,232742,,,41208,,,,,,,,,
61427,,Daubentonia madagascariensis,232752,,,41368,,,,,,,,,
61428,,Daubentonia madagascariensis,232752,,,41368,,,,,,,,,
61429,,Daubentonia madagascariensis,232752,,,41368,,,,,,,,,
61430,,Daubentonia madagascariensis,232752,,,41368,,,,,,,,,
61431,,Daubentonia madagascariensis,232752,,,41368,,,,,,,,,
61432,,Daubentonia madagascariensis,232752,,,41368,,,,,,,,,
61438,,Pongo abelii,232339,,,41219,,,,,,,,,
61439,,Pongo abelii,232339,,,41219,,,,,,,,,
61440,,Hylobates lar,231498,,,41219,,,,,,,,,
61441,,Hylobates lar,231498,,,41219,,,,,,,,,
61442,,Hylobates moloch,232649,,,41219,,,,,,,,,
61443,,Hylobates moloch,232649,,,41219,,,,,,,,,
61444,,Semnopithecus entellus,232624,,,41219,,,,,,,,,
61445,,Semnopithecus entellus,232624,,,41219,,,,,,,,,
61446,,Semnopithecus entellus,232624,,,41219,,,,,,,,,
61447,,Semnopithecus entellus,232624,,,41219,,,,,,,,,
61448,,Semnopithecus entellus,232624,,,41219,,,,,,,,,
61449,,Semnopithecus entellus,232624,,,41219,,,,,,,,,
61450,,Macaca mulatta,232540,,,41219,,,,,,,,,
61451,,Macaca mulatta,232540,,,41219,,,,,,,,,
61452,,Macaca mulatta,232540,,,41219,,,,,,,,,
61453,,Macaca mulatta,232540,,,41219,,,,,,,,,
61454,,Mandrillus sphinx,104119,,,41219,,,,,,,,,
61455,,Mandrillus sphinx,104119,,,41219,,,,,,,,,
61456,,Ateles belzebuth,232524,,,41219,,,,,,,,,
61457,,Ateles belzebuth,232524,,,41219,,,,,,,,,
61458,,Lagothrix lagotricha,232529,,,41219,,,,,,,,,
61459,,Lagothrix lagotricha,232529,,,41219,,,,,,,,,
61460,,Lagothrix lagotricha,232529,,,41219,,,,,,,,,
61461,,Cebus capucinus,104134,,,41219,,,,,,,,,
61462,,Cebus capucinus,104134,,,41219,,,,,,,,,
61463,,Alouatta seniculus,232536,,,41219,,,,,,,,,
61464,,Alouatta seniculus,232536,,,41219,,,,,,,,,
61465,,Alouatta seniculus,232536,,,41219,,,,,,,,,
61466,,Alouatta seniculus,232536,,,41219,,,,,,,,,
61467,,Alouatta seniculus,232536,,,41219,,,,,,,,,
61468,,Alouatta seniculus,232536,,,41219,,,,,,,,,
61469,,Pithecia monachus,232705,,,41219,,,,,,,,,
61470,,Pithecia monachus,232705,,,41219,,,,,,,,,
61471,,Cacajao melanocephalus,232689,,,41219,,,,,,,,,
61472,,Cacajao melanocephalus,232689,,,41219,,,,,,,,,
61473,,Aotus trivirgatus,232710,,,41219,,,,,,,,,
61474,,Aotus trivirgatus,232710,,,41219,,,,,,,,,
61475,,Saimiri sciureus,104135,,,41219,,,,,,,,,
61476,,Saimiri sciureus,104135,,,41219,,,,,,,,,
61477,,Saimiri sciureus,104135,,,41219,,,,,,,,,
61478,,Saimiri sciureus,104135,,,41219,,,,,,,,,
61479,,Callithrix jacchus,104128,,,41219,,,,,,,,,
61480,,Callithrix jacchus,104128,,,41219,,,,,,,,,
61481,,Indri indri,232454,,,41219,,,,,,,,,
61482,,Indri indri,232454,,,41219,,,,,,,,,
61483,,Eulemur macaco,232521,,,41219,,,,,,,,,
61484,,Eulemur macaco,232521,,,41219,,,,,,,,,
61485,,Sciurocheirus alleni,232724,,,41219,,,,,,,,,
61486,,Sciurocheirus alleni,232724,,,41219,,,,,,,,,
61487,,Loris tardigradus,104137,,,41219,,,,,,,,,
61488,,Loris tardigradus,104137,,,41219,,,,,,,,,
61489,,Loris tardigradus,104137,,,41219,,,,,,,,,
61490,,Loris tardigradus,104137,,,41219,,,,,,,,,
61491,,Perodicticus potto,232728,,,41219,,,,,,,,,
61492,,Perodicticus potto,232728,,,41219,,,,,,,,,
61493,,Perodicticus potto,232728,,,41219,,,,,,,,,
61494,,Perodicticus potto,232728,,,41219,,,,,,,,,
61495,,Arctocebus calabarensis,232735,,,41219,,,,,,,,,
61496,,Arctocebus calabarensis,232735,,,41219,,,,,,,,,
61497,,Cephalopachus bancanus,232742,,,41219,,,,,,,,,
61498,,Cephalopachus bancanus,232742,,,41219,,,,,,,,,
61499,,Daubentonia madagascariensis,232752,,,41219,,,,,,,,,
61500,,Daubentonia madagascariensis,232752,,,41219,,,,,,,,,
62798,,Sapajus apella,104132,,,41346,,,,,,,,,
62799,,Sapajus apella,104132,,,41346,,,,,,,,,
62800,,Sapajus apella,104132,,,41346,,,,,,,,,
62801,,Sapajus apella,104132,,,41346,,,,,,,,,
62802,,Sapajus apella,104132,,,41346,,,,,,,,,
62803,,Alouatta caraya,232532,,,41346,,,,,,,,,
62804,,Alouatta caraya,232532,,,41346,,,,,,,,,
62805,,Alouatta caraya,232532,,,41346,,,,,,,,,
62806,,Alouatta caraya,232532,,,41346,,,,,,,,,
62807,,Alouatta caraya,232532,,,41346,,,,,,,,,
62808,,Erythrocebus patas,233286,,,41346,,,,,,,,,
62809,,Erythrocebus patas,233286,,,41346,,,,,,,,,
62810,,Erythrocebus patas,233286,,,41346,,,,,,,,,
62811,,Erythrocebus patas,233286,,,41346,,,,,,,,,
62812,,Erythrocebus patas,233286,,,41346,,,,,,,,,
62813,,Pan troglodytes,157890,,,41346,,,,,,,,,
62814,,Pan troglodytes,157890,,,41346,,,,,,,,,
62815,,Pan troglodytes,157890,,,41346,,,,,,,,,
62816,,Pan troglodytes,157890,,,41346,,,,,,,,,
62817,,Pan troglodytes,157890,,,41346,,,,,,,,,
62818,,Homo sapiens,83088,,,41346,,,,,,,,,
62819,,Homo sapiens,83088,,,41346,,,,,,,,,
62820,,Homo sapiens,83088,,,41346,,,,,,,,,
62821,,Homo sapiens,83088,,,41346,,,,,,,,,
62822,,Homo sapiens,83088,,,41346,,,,,,,,,
62859,,Sapajus apella,104132,,,41219,,,,,,,,,
62860,,Alouatta caraya,232532,,,41219,,,,,,,,,
62861,,Erythrocebus patas,233286,,,41219,,,,,,,,,
62862,,Sapajus apella,104132,,,41219,,,,,,,,,
62863,,Alouatta caraya,232532,,,41219,,,,,,,,,
62864,,Erythrocebus patas,233286,,,41219,,,,,,,,,
63100,,Gorilla gorilla,231496,,,41355,,,,,,,,,
63101,,Gorilla gorilla,231496,,,41355,,,,,,,,,
63102,,Gorilla gorilla,231496,,,41355,,,,,,,,,
63103,,Gorilla gorilla,231496,,,41355,,,,,,,,,
63104,,Gorilla gorilla,231496,,,41355,,,,,,,,,
63105,,Gorilla gorilla,231496,,,41355,,,,,,,,,
